,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
0,-0.42753120775134573,-0.11852141497236482,-0.3663224819074752,-0.1815668033443146,1.0,1.0,-0.2610703885932323,m_y=1,IV,plugin,0.0
1,-0.34635912806842234,-0.0362321055844367,-0.2723069795150638,-0.1094142232094734,1.0,1.0,-0.16711482920027887,m_y=0,IV,plugin,0.0
2,-0.32067914729256264,0.25334820492788446,-0.1823084409168873,0.11497749855220918,1.0,1.0,-0.04697310568752422,m_a=0,IV,plugin,0.0
3,-0.1077144975153814,0.008699741231595514,-0.10771449751538138,0.008699741231595528,1.0,1.0,-0.047349751697577824,m_a=1,IV,plugin,0.0
4,-0.16798848307105693,0.08708848307105693,-0.0978829646858211,0.01698296468582106,1.0,1.0,-0.046100000000000016,m_u,IV,plugin,0.0
0,-0.4175364912744529,-0.10176787499548216,-0.3533662336191178,-0.16709986695569892,1.0,1.0,-0.24723357591466458,m_y=1,IV,plugin,0.0
1,-0.3555323124927361,-0.0347142717751636,-0.2806504044278447,-0.10869437165427982,1.0,1.0,-0.17223392516802086,m_y=0,IV,plugin,0.0
2,-0.32491938704793444,0.2678200439538917,-0.1839397006191656,0.12684035752512274,1.0,1.0,-0.04164287210507239,m_a=0,IV,plugin,0.0
3,-0.09795031565334036,0.021719602775629433,-0.0979503156533403,0.021719602775629527,1.0,1.0,-0.03575413960077334,m_a=1,IV,plugin,0.0
4,-0.16438751033486976,0.09618751033486969,-0.0941443815717356,0.02594438157173561,1.0,1.0,-0.03814999999999999,m_u,IV,plugin,0.0
0,-0.40911112286464946,-0.110805268612546,-0.3483272156624676,-0.17286400835546234,1.0,1.0,-0.2444355323841989,m_y=1,IV,plugin,0.0
1,-0.3336986484018608,-0.03190892076725318,-0.2610001412636199,-0.10358552846478206,1.0,1.0,-0.16138041093157787,m_y=0,IV,plugin,0.0
2,-0.30923742279746,0.2465482614807486,-0.17345785640997877,0.11076869509326732,1.0,1.0,-0.0457393789210892,m_a=0,IV,plugin,0.0
3,-0.1021710678203249,0.008933683149133254,-0.10217106782032497,0.008933683149133223,1.0,1.0,-0.039631485168031555,m_a=1,IV,plugin,0.0
4,-0.1628057968245066,0.08390579682450662,-0.09539124211312221,0.016491242113122178,1.0,1.0,-0.04100000000000001,m_u,IV,plugin,0.0
0,-0.42390877090460305,-0.10958882598840636,-0.3604078183734512,-0.17452324547713177,1.0,1.0,-0.25267622702484344,m_y=1,IV,plugin,0.0
1,-0.35407011168328795,-0.04415491215920906,-0.28059724413107234,-0.11662232232476137,1.0,1.0,-0.18954248366013074,m_y=0,IV,plugin,0.0
2,-0.33499741838222097,0.26502609195629473,-0.19487767615137422,0.12490634972544794,1.0,1.0,-0.027166943522713094,m_a=0,IV,plugin,0.0
3,-0.09545242769419846,0.020845620319775382,-0.09545242769419848,0.020845620319775337,1.0,1.0,-0.033242691629526366,m_a=1,IV,plugin,0.0
4,-0.15924817536001268,0.09714817536001272,-0.08925135812859318,0.027151358128593196,1.0,1.0,-0.029399999999999992,m_u,IV,plugin,0.0
0,-0.41599307757196763,-0.08518169232831059,-0.34836743238733847,-0.15427377661002334,1.0,1.0,-0.2324423213741234,m_y=1,IV,plugin,0.0
1,-0.35038930236566634,-0.026047148868095872,-0.2731970885366714,-0.10208538010020529,1.0,1.0,-0.17577010136797558,m_y=0,IV,plugin,0.0
2,-0.33759676234137803,0.27882818912266877,-0.18858604434856624,0.12981747112985695,1.0,1.0,-0.025341426403641842,m_a=0,IV,plugin,0.0
3,-0.09828030970197685,0.024669821546255865,-0.09828030970197679,0.024669821546255875,1.0,1.0,-0.02933453750992432,m_a=1,IV,plugin,0.0
4,-0.16363057624674093,0.10803057624674092,-0.08998202887879368,0.03438202887879369,1.0,1.0,-0.025050000000000006,m_u,IV,plugin,0.0
0,-0.42517617429411453,-0.08884941301195029,-0.3585953792014516,-0.1570836341224906,1.0,1.0,-0.2436615415945423,m_y=1,IV,plugin,0.0
1,-0.35423484192577315,-0.023641890408285838,-0.2769872753984858,-0.09965862338267145,1.0,1.0,-0.17428038117693287,m_y=0,IV,plugin,0.0
2,-0.3440431286961464,0.2774459566152411,-0.19715615586586838,0.1305589837849631,1.0,1.0,-0.03405631650513219,m_a=0,IV,plugin,0.0
3,-0.10205722502747663,0.026658850072648954,-0.10205722502747668,0.026658850072648926,1.0,1.0,-0.03487780400274482,m_a=1,IV,plugin,0.0
4,-0.16887699325326608,0.10667699325326607,-0.09563180425144799,0.033431804251447955,1.0,1.0,-0.030950000000000023,m_u,IV,plugin,0.0
0,-0.398976706195268,-0.11466874907770419,-0.3409390990634077,-0.17387456590664122,1.0,1.0,-0.2557259510057758,m_y=1,IV,plugin,0.0
1,-0.3134278217654313,-0.023829964625774757,-0.24223033299694396,-0.09382787075607615,1.0,1.0,-0.16559550110463944,m_y=0,IV,plugin,0.0
2,-0.339091448221966,0.21353321819551452,-0.20698799734460266,0.0814297673181513,1.0,1.0,-0.049082315474490934,m_a=0,IV,plugin,0.0
3,-0.09426550310487135,0.01415961763243483,-0.09426550310487132,0.014159617632434843,1.0,1.0,-0.04329809931815837,m_a=1,IV,plugin,0.0
4,-0.16673496340136557,0.0736349634013655,-0.10112578452312304,0.008025784523123039,1.0,1.0,-0.04595000000000002,m_u,IV,plugin,0.0
0,-0.388254254562315,-0.11895913224352062,-0.3345771981055631,-0.1736802181555233,1.0,1.0,-0.24137931034482757,m_y=1,IV,plugin,0.0
1,-0.31024642474244735,-0.03887169818670559,-0.2459807994679823,-0.10222466942279469,1.0,1.0,-0.17238586901508252,m_y=0,IV,plugin,0.0
2,-0.30542937855122404,0.2072426050937854,-0.18428762874424073,0.08610085528680209,1.0,1.0,-0.030280839264505366,m_a=0,IV,plugin,0.0
3,-0.09300772687793557,0.011974284144423763,-0.09300772687793553,0.011974284144423763,1.0,1.0,-0.03600540231334437,m_a=1,IV,plugin,0.0
4,-0.15354562548565434,0.07244562548565434,-0.09347143175637132,0.012371431756371318,1.0,1.0,-0.037000000000000005,m_u,IV,plugin,0.0
0,-0.4442526397893502,-0.10534049587798984,-0.37807290894714013,-0.17347140284076007,1.0,1.0,-0.26045243385174716,m_y=1,IV,plugin,0.0
1,-0.3633475800653851,-0.024390775741632863,-0.2834972656178459,-0.10298086140976788,1.0,1.0,-0.1693404634581105,m_y=0,IV,plugin,0.0
2,-0.34834504844123115,0.28157162848887973,-0.1997936541719524,0.13302023421960088,1.0,1.0,-0.048131032351417746,m_a=0,IV,plugin,0.0
3,-0.11176240256285926,0.016530564890009668,-0.11176240256285926,0.016530564890009675,1.0,1.0,-0.04461578525927379,m_a=1,IV,plugin,0.0
4,-0.17816472355738835,0.09876472355738827,-0.10357706849478346,0.024177068494783426,1.0,1.0,-0.043450000000000016,m_u,IV,plugin,0.0
0,-0.4443743027742045,-0.11082172996949988,-0.3788336960362477,-0.17835992015828173,1.0,1.0,-0.25268439538384346,m_y=1,IV,plugin,0.0
1,-0.3639595156327875,-0.031032416585583776,-0.285111505054255,-0.10877066389979077,1.0,1.0,-0.17737917289486793,m_y=0,IV,plugin,0.0
2,-0.3378666459519365,0.28132662255572666,-0.190503844973579,0.1339638215773691,1.0,1.0,-0.035500209893727375,m_a=0,IV,plugin,0.0
3,-0.11228311892873584,0.011994535540031003,-0.11228311892873591,0.011994535540030991,1.0,1.0,-0.03866356044835323,m_a=1,IV,plugin,0.0
4,-0.17463717464844003,0.09713717464843999,-0.10052842203642402,0.023028422036424006,1.0,1.0,-0.036900000000000016,m_u,IV,plugin,0.0
0,-0.4125127951124911,-0.11269117284683632,-0.35454278371686176,-0.17189336839486738,1.0,1.0,-0.25529990957500254,m_y=1,IV,plugin,0.0
1,-0.3377905383509648,-0.03811699941420954,-0.26912329803537444,-0.10571003558772878,1.0,1.0,-0.1806509405792774,m_y=0,IV,plugin,0.0
2,-0.3306919100571608,0.2385345478802336,-0.20178994106012263,0.10963257888319541,1.0,1.0,-0.03855429650674386,m_a=0,IV,plugin,0.0
3,-0.09600875758660031,0.022662209303265533,-0.09600875758660023,0.022662209303265606,1.0,1.0,-0.03679468113535961,m_a=1,IV,plugin,0.0
4,-0.16102521384113416,0.08652521384113412,-0.0967160215085118,0.022216021508511784,1.0,1.0,-0.03630000000000001,m_u,IV,plugin,0.0
0,-0.43807010953925885,-0.10094372240923957,-0.3697453100014326,-0.17116932081044617,1.0,1.0,-0.2442034033237138,m_y=1,IV,plugin,0.0
1,-0.3673002363351946,-0.02962311500930579,-0.28668637086126864,-0.10932835403500327,1.0,1.0,-0.18872475128127827,m_y=0,IV,plugin,0.0
