,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,beta_zy
0,-0.6934557603266597,0.40996345409577745,-0.46264536626375063,0.2546016050803857,1.0,1.0,0.006947368421052627,m_y=1,IV,plugin,0.0
1,-0.6538109665279533,0.37645847768077945,-0.41961289936667107,0.21664774105403292,1.0,1.0,-0.0007619047619047837,m_y=0,IV,plugin,0.0
2,-0.6885370472274535,0.7100485988338391,-0.2260251482018055,0.24753669980819115,1.0,1.0,0.0037660234961255368,m_a=0,IV,plugin,0.0
3,-0.2258776167905337,0.23854040530991832,-0.22587761679053373,0.2385404053099182,1.0,1.0,0.003921529173462723,m_a=1,IV,plugin,0.0
4,-0.4564155850732908,0.47321558507329087,-0.22608465935851813,0.24288465935851816,1.0,1.0,0.003700000000000009,m_u,IV,plugin,0.0
0,-0.686418368855854,0.39682557077193603,-0.4585150849940952,0.23750945273851326,1.0,1.0,0.0003113971351463512,m_y=1,IV,plugin,0.0
1,-0.6472274495415175,0.3795387368330624,-0.4089351555644174,0.2167433707304805,1.0,1.0,-0.0015435076210688697,m_y=0,IV,plugin,0.0
2,-0.6909142760689381,0.7004517483528219,-0.22466477511744304,0.23420224740132678,1.0,1.0,0.0009508227361747501,m_a=0,IV,plugin,0.0
3,-0.22827205583827825,0.22747163270674636,-0.22827205583827825,0.22747163270674645,1.0,1.0,0.0009018533672471296,m_a=1,IV,plugin,0.0
4,-0.45878556364523304,0.463185563645233,-0.2261503751454846,0.23055037514548457,1.0,1.0,0.0009499999999999925,m_u,IV,plugin,0.0
0,-0.687641072653308,0.3983170346902356,-0.46473293182215486,0.24173641306844612,1.0,1.0,-0.00031642231832084664,m_y=1,IV,plugin,0.0
1,-0.6426031848185596,0.3769819264558164,-0.407446783214254,0.21612802335569992,1.0,1.0,-0.003992774978610144,m_y=0,IV,plugin,0.0
2,-0.6956387911733987,0.7022540545178804,-0.22997284079213792,0.2365881041366195,1.0,1.0,0.0019062043038454712,m_a=0,IV,plugin,0.0
3,-0.2288227266247141,0.23419390157633915,-0.2288227266247141,0.2341939015763391,1.0,1.0,0.0017607064933499172,m_a=1,IV,plugin,0.0
4,-0.46124221655392006,0.46744221655392,-0.22824625828065623,0.2344462582806562,1.0,1.0,0.0019500000000000073,m_u,IV,plugin,0.0
0,-0.6811493723991183,0.38863469150126245,-0.45629220475070387,0.22730483194435291,1.0,1.0,0.00783068783068782,m_y=1,IV,plugin,0.0
1,-0.6425336270010806,0.34950846011618303,-0.4162569925870668,0.18386916898159086,1.0,1.0,-0.015924170616113755,m_y=0,IV,plugin,0.0
2,-0.6399881706572218,0.6875151798955013,-0.19403348765315673,0.24156049689143622,1.0,1.0,0.01194081200369157,m_a=0,IV,plugin,0.0
3,-0.22012596721743388,0.21501810233911192,-0.22012596721743388,0.21501810233911187,1.0,1.0,0.011740551004623345,m_a=1,IV,plugin,0.0
4,-0.42974802404081924,0.4514480240408192,-0.20476388646526847,0.22646388646526847,1.0,1.0,0.0121,m_u,IV,plugin,0.0
0,-0.6888708202840317,0.4081172632776691,-0.4551916305605451,0.24896818904488388,1.0,1.0,0.006220347917764881,m_y=1,IV,plugin,0.0
1,-0.6509148809104046,0.3737487881955095,-0.41471900206379725,0.21012919520217993,1.0,1.0,-0.0041844983357109036,m_y=0,IV,plugin,0.0
2,-0.6820238091200005,0.7056049563176833,-0.21670465008561032,0.24028579728329316,1.0,1.0,0.005163206570738543,m_a=0,IV,plugin,0.0
3,-0.22219763059073658,0.2341399463921236,-0.22219763059073658,0.23413994639212357,1.0,1.0,0.005214054325302975,m_a=1,IV,plugin,0.0
4,-0.45232421382418286,0.4700242138241829,-0.21947850664337407,0.2371785066433741,1.0,1.0,0.005150000000000002,m_u,IV,plugin,0.0
0,-0.6648554733142371,0.4071696308465541,-0.4369770950124801,0.2543088252565743,1.0,1.0,0.005084745762711863,m_y=1,IV,plugin,0.0
1,-0.6293021461292494,0.37697743263638295,-0.39715166470691926,0.2197019871578278,1.0,1.0,0.001420454545454547,m_y=0,IV,plugin,0.0
2,-0.6888912743460555,0.6974372658303438,-0.2292555921294522,0.2378015836137405,1.0,1.0,0.0017423459870206104,m_a=0,IV,plugin,0.0
3,-0.22004123158362504,0.2408272317942976,-0.220041231583625,0.24082723179429766,1.0,1.0,0.001909259143268227,m_a=1,IV,plugin,0.0
4,-0.4545040550131357,0.46890405501313587,-0.22477814104127739,0.23917814104127738,1.0,1.0,0.0016499999999999987,m_u,IV,plugin,0.0
0,-0.7125494225123888,0.40144902222031587,-0.48334213993015246,0.24061223454252278,1.0,1.0,0.0017789870238593334,m_y=1,IV,plugin,0.0
1,-0.6604545084331015,0.38004045891100735,-0.41783523305747855,0.21501214264410584,1.0,1.0,-0.003638452700114896,m_y=0,IV,plugin,0.0
2,-0.6932285163854399,0.7080633191192295,-0.22489785579595045,0.23973265852973985,1.0,1.0,0.0027612392708938893,m_a=0,IV,plugin,0.0
3,-0.23159890228066113,0.22710206819306986,-0.23159890228066118,0.22710206819306986,1.0,1.0,0.0026465985610048537,m_a=1,IV,plugin,0.0
4,-0.46089511169786135,0.46609511169786144,-0.22773669232338398,0.232936692323384,1.0,1.0,0.0027499999999999886,m_u,IV,plugin,0.0
0,-0.6917567845656668,0.4044856081865575,-0.46442256752233996,0.2493013352601839,1.0,1.0,0.004834980029430305,m_y=1,IV,plugin,0.0
