,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,metric,id_method,est_method,ls
0,-0.21041875369693078,0.1145998377482298,-0.13241802081121387,0.040457735327092105,0.0,0.0,-0.5456688273423689,m_y=1,MSM,plugin,0.0
1,-0.152188171292197,0.17796376911029466,-0.06212921419660442,0.10414775112826358,0.0,0.0,0.19706217720839758,m_y=0,MSM,plugin,0.0
2,-0.2721039051624413,0.23691815477290415,-0.09617586081081567,0.06099011042127862,0.0,0.0,-0.2802946221370195,m_a=0,MSM,plugin,0.0
3,-0.12134083940048679,0.032709669971050515,-0.1213408394004869,0.03270966997105044,0.0,0.0,-0.2834808675943533,m_a=1,MSM,plugin,0.0
4,-0.197399346185733,0.1351993461857331,-0.10881077945247197,0.046610779452472,0.0,0.0,-0.28579999999999994,m_u,MSM,plugin,0.0
0,-0.215482323760425,0.1095954118750779,-0.1381584749941113,0.035233902606088906,0.0,0.0,-0.5507447864945382,m_y=1,MSM,plugin,0.0
1,-0.1645628900872057,0.1629873996832895,-0.07677217707158304,0.08872215678104604,0.0,0.0,0.1895088539926495,m_y=0,MSM,plugin,0.0
2,-0.2589974025918494,0.2417206696982337,-0.08535858435565047,0.0680818514620348,0.0,0.0,-0.2785534907081868,m_a=0,MSM,plugin,0.0
3,-0.11994598277308718,0.031986104006030636,-0.11994598277308714,0.03198610400603071,0.0,0.0,-0.2792212742518415,m_a=1,MSM,plugin,0.0
4,-0.18968357463932398,0.13688357463932396,-0.10270789058481192,0.04990789058481194,0.0,0.0,-0.28045,m_u,MSM,plugin,0.0
0,-0.211757785367634,0.11591632301449806,-0.13247017721884852,0.04024608081154831,0.0,0.0,-0.5491770373344039,m_y=1,MSM,plugin,0.0
1,-0.15653325238833204,0.1747845553568792,-0.06548126033251352,0.09931182762035103,0.0,0.0,0.20075908909308832,m_y=0,MSM,plugin,0.0
2,-0.26357522874234596,0.2483740343357351,-0.08547450683081848,0.07027331242420783,0.0,0.0,-0.27644740830554715,m_a=0,MSM,plugin,0.0
3,-0.12573019749748526,0.02608598833276383,-0.12573019749748526,0.026085988332763828,0.0,0.0,-0.28481520227648705,m_a=1,MSM,plugin,0.0
4,-0.19630759358073543,0.13830759358073547,-0.10568994627215034,0.04768994627215033,0.0,0.0,-0.28755,m_u,MSM,plugin,0.0
0,-0.2071257951008806,0.11696707012989019,-0.12874318569760587,0.04304728051457209,0.0,0.0,-0.5369496855345912,m_y=1,MSM,plugin,0.0
1,-0.15915119035867648,0.16957039099967278,-0.07091595087141273,0.0959384130354695,0.0,0.0,0.19125536480686695,m_y=0,MSM,plugin,0.0
2,-0.2639169857677078,0.24034211854397708,-0.08958479747986924,0.06600993025613859,0.0,0.0,-0.27487674816379914,m_a=0,MSM,plugin,0.0
3,-0.1161583604948909,0.037301029686842326,-0.11615836049489092,0.037301029686842305,0.0,0.0,-0.27764818292151905,m_a=1,MSM,plugin,0.0
4,-0.19057812033028929,0.13917812033028926,-0.10289774623092092,0.05149774623092092,0.0,0.0,-0.2792,m_u,MSM,plugin,0.0
0,-0.2233280272447841,0.09939343686361617,-0.14741087925867383,0.02455801701013024,0.0,0.0,-0.5597719229256785,m_y=1,MSM,plugin,0.0
1,-0.16100475352057225,0.1661940806792078,-0.07226903404145582,0.0915670028440917,0.0,0.0,0.19263778999597692,m_y=0,MSM,plugin,0.0
2,-0.26319946417165213,0.2359066380384261,-0.08905168214715543,0.06175885601392941,0.0,0.0,-0.2848709225535322,m_a=0,MSM,plugin,0.0
3,-0.12722000693264687,0.02334784941191579,-0.12722000693264685,0.023347849411915804,0.0,0.0,-0.2858534979212873,m_a=1,MSM,plugin,0.0
4,-0.1953771373234575,0.12977713732345755,-0.10812909852918469,0.042529098529184683,0.0,0.0,-0.286,m_u,MSM,plugin,0.0
0,-0.21869093336069292,0.10509961164403218,-0.14183502115971605,0.030296267644988096,0.0,0.0,-0.5547931778082729,m_y=1,MSM,plugin,0.0
1,-0.15973839694988046,0.16928812899143103,-0.07068387068434219,0.09478566435367594,0.0,0.0,0.19330156386334654,m_y=0,MSM,plugin,0.0
2,-0.2673603434333403,0.23782218861307833,-0.09125575319651728,0.061717598376255345,0.0,0.0,-0.2830849254776433,m_a=0,MSM,plugin,0.0
3,-0.12459885805817068,0.02816271290858312,-0.1245988580581707,0.028162712908583094,0.0,0.0,-0.2854769008863301,m_a=1,MSM,plugin,0.0
4,-0.19636984062448995,0.13336984062448992,-0.10790369971902189,0.04490369971902193,0.0,0.0,-0.2855,m_u,MSM,plugin,0.0
0,-0.2106508556120359,0.11285690610392556,-0.13247438493448127,0.038530558855553676,0.0,0.0,-0.5349745994529113,m_y=1,MSM,plugin,0.0
1,-0.16134071577175763,0.16589716423057493,-0.0730790027589224,0.09174647910850228,0.0,0.0,0.1886171213546566,m_y=0,MSM,plugin,0.0
2,-0.26376754011389136,0.24081507581272993,-0.08887827913125958,0.06592581483009818,0.0,0.0,-0.27751875126697745,m_a=0,MSM,plugin,0.0
3,-0.11559217195911622,0.03497294732438805,-0.11559217195911624,0.03497294732438805,0.0,0.0,-0.27364181370529095,m_a=1,MSM,plugin,0.0
4,-0.18926758633407395,0.1370675863340739,-0.10239134594095159,0.05019134594095159,0.0,0.0,-0.27725,m_u,MSM,plugin,0.0
0,-0.21716297954025116,0.10610133241161002,-0.13928828960074904,0.03054769093703218,0.0,0.0,-0.5436018028610621,m_y=1,MSM,plugin,0.0
1,-0.1666323462704861,0.16143856955573882,-0.07827207371633542,0.08613751555520512,0.0,0.0,0.1852722024568705,m_y=0,MSM,plugin,0.0
2,-0.2618295270154237,0.2409483909260386,-0.08556071050133843,0.0646795744119533,0.0,0.0,-0.2764875909498653,m_a=0,MSM,plugin,0.0
3,-0.11915601385413346,0.03162051379862792,-0.1191560138541334,0.03162051379862797,0.0,0.0,-0.2776003010113719,m_a=1,MSM,plugin,0.0
4,-0.1906147343600445,0.1365147343600445,-0.10218948255575362,0.04808948255575365,0.0,0.0,-0.2767,m_u,MSM,plugin,0.0
0,-0.20780150368757586,0.1185136085726822,-0.12896550755696565,0.04415754859976723,0.0,0.0,-0.5427734375,m_y=1,MSM,plugin,0.0
1,-0.152220183211697,0.18096690399478094,-0.061808393609814674,0.10715898491049458,0.0,0.0,0.20053763440860214,m_y=0,MSM,plugin,0.0
2,-0.27475004114468515,0.241140149940835,-0.09648232003591277,0.06287242883206268,0.4,0.0,-0.2798871991137073,m_a=0,MSM,plugin,0.0
3,-0.12208269650065692,0.034565264472373736,-0.12208269650065687,0.034565264472373805,0.0,0.0,-0.28650437559252684,m_a=1,MSM,plugin,0.0
4,-0.19960833503378456,0.13880833503378448,-0.10928008074796958,0.04848008074796958,0.0,0.0,-0.28814999999999996,m_u,MSM,plugin,0.0
0,-0.23052973836009882,0.09086322804409,-0.1549015028270936,0.014550719627585432,0.0,0.0,-0.5638442162371633,m_y=1,MSM,plugin,0.0
1,-0.1653636318177375,0.1630061391107958,-0.07616398904816779,0.08704994243849021,0.0,0.0,0.18734416065772627,m_y=0,MSM,plugin,0.0
2,-0.26966683175220285,0.23474101345800347,-0.0929809747461052,0.0580551564519058,0.0,0.0,-0.28698224852070997,m_a=0,MSM,plugin,0.0
3,-0.12920239082585305,0.02180192072397429,-0.12920239082585305,0.021801920723974334,0.0,0.0,-0.28832047057199184,m_a=1,MSM,plugin,0.0
4,-0.1993748550961564,0.1286748550961564,-0.1097951255940649,0.0390951255940649,0.0,0.0,-0.2845,m_u,MSM,plugin,0.0
0,-0.21537764988839708,0.10773839713343944,-0.13872627844560262,0.034088977561676156,0.0,0.0,-0.5463620656555961,m_y=1,MSM,plugin,0.0
1,-0.16393852001090933,0.16562104795914268,-0.07686376494717924,0.09235510895931927,0.0,0.0,0.18524778581569873,m_y=0,MSM,plugin,0.0
2,-0.27148609661257017,0.23336399492591106,-0.09831741709488676,0.060195315408227645,0.0,0.0,-0.2834943719493973,m_a=0,MSM,plugin,0.0
