g,s,metric,Rs_down,Rs_up,Rd_down,Rd_up,Rs_coverage,Rd_coverage,R_oracle,selection_rate,size
_Population,0,m_a=0,-0.28500598675151234,0.0262714236882563,-0.19012093980342193,-0.0686136232598342,0.5,0.0,0.013123081361359312,0.1799184505606524,1.0
_Population,0,m_a=1,-0.2715174071981725,-0.12361297983659575,-0.2715174071981724,-0.12361297983659567,1.0,1.0,-0.23883874175709835,0.1799184505606524,1.0
_Population,0,m_u,-0.20556802916997668,0.07916639818118965,-0.12749304836898345,0.0010914173801964827,1.0,0.0,0.02803261977573905,0.1799184505606524,1.0
_Population,0,m_y=0,0.38913976561245234,0.5365103734593762,0.39162436173964177,0.5346061184597968,0.0,0.0,0.28601036269430047,0.1799184505606524,1.0
_Population,0,m_y=1,0.15633487818876604,0.3206829979925915,0.19027007333818935,0.2928006656305857,1.0,1.0,0.23346699085725658,0.1799184505606524,1.0
_Population,1,m_a=0,-0.27769199454768545,0.022409626280972983,-0.18580286846554045,-0.06947949980117193,0.5,0.0,0.02622236784881371,0.1783893985728848,1.0
_Population,1,m_a=1,-0.2820175942691696,-0.14070330561974181,-0.28201759426916967,-0.1407033056197419,1.0,1.0,-0.2283447950305031,0.1783893985728848,1.0
_Population,1,m_u,-0.20056523468054555,0.07314423569991352,-0.12509303689590617,-0.0023279620847258126,1.0,0.0,0.04587155963302754,0.1783893985728848,1.0
_Population,1,m_y=0,0.38666882975546113,0.5288744897957406,0.38816475529747085,0.5277144584268103,0.0,0.0,0.2699316941768255,0.1783893985728848,1.0
_Population,1,m_y=1,0.1590129745718003,0.31935382521513667,0.1926629200876689,0.29146704667487733,1.0,1.0,0.2469489120151372,0.1783893985728848,1.0
_Population,2,m_a=0,-0.3397994212365227,0.069559318698248,-0.20850439640047788,-0.061735706137796574,1.0,0.0,0.009037830892276971,0.1941896024464832,1.0
_Population,2,m_a=1,-0.10971551566180116,0.06185088552427742,-0.10971551566180121,0.061850885524277345,0.0,0.0,-0.2063468151389966,0.1941896024464832,1.0
_Population,2,m_u,-0.24407388357602877,0.11563351660355159,-0.1382811777909832,0.00984081081850613,1.0,0.0,0.030581039755351674,0.1941896024464832,1.0
_Population,2,m_y=0,0.33639271397714055,0.46721186527349656,0.3393051751729438,0.4648642293908722,0.0,0.0,0.2722962334553141,0.1941896024464832,1.0
_Population,2,m_y=1,0.1719322380757897,0.3193227102213214,0.20034493376176432,0.29541171412518297,1.0,1.0,0.216523098899434,0.1941896024464832,1.0
_Population,3,m_a=0,-0.2765809225262107,0.03490084506355559,-0.17900683614847662,-0.06267324131417872,0.5,0.0,0.006748412355840949,0.1926605504587156,1.0
_Population,3,m_a=1,-0.27063720396049795,-0.13134341258418292,-0.2706372039604979,-0.13134341258418286,1.0,1.0,-0.2342428665022645,0.1926605504587156,1.0
_Population,3,m_u,-0.20910653096230178,0.06945311607952909,-0.1302140206349191,-0.009439394247853547,1.0,0.0,0.024974515800203864,0.1926605504587156,1.0
_Population,3,m_y=0,0.3730046757231928,0.5108094612577654,0.3747428417210546,0.5094391625958907,0.0,0.0,0.28455706419902566,0.1926605504587156,1.0
_Population,3,m_y=1,0.13547170690655783,0.29078173007824515,0.16900320933761565,0.262711452075046,1.0,1.0,0.21446126091089793,0.1926605504587156,1.0
_Population,4,m_a=0,-0.3037276857961024,0.06638464649661502,-0.18780965490672438,-0.049533384392762905,1.0,0.0,0.004500669716181932,0.18297655453618755,1.0
_Population,4,m_a=1,-0.2644364531494851,-0.10591482592405999,-0.26443645314948505,-0.10591482592405993,1.0,1.0,-0.24353602013277165,0.18297655453618755,1.0
_Population,4,m_u,-0.22912472433317893,0.0996649893688567,-0.13438139516940928,0.004921660205087136,1.0,0.0,0.020897043832823647,0.18297655453618755,1.0
_Population,4,m_y=0,0.3589273958000843,0.5173052604449755,0.361957447374216,0.5149849754391244,0.0,0.0,0.3013503401360544,0.18297655453618755,1.0
_Population,4,m_y=1,0.14534569634114136,0.32403275654338193,0.1837188683166796,0.2926787608926803,1.0,1.0,0.22770876408523705,0.18297655453618755,1.0
_Population,5,m_a=0,-0.2877038603184085,0.030010895402330373,-0.18828089033011366,-0.06941207458596449,1.0,0.0,7.800400290852716e-05,0.20285423037716616,1.0
_Population,5,m_a=1,-0.2757451008371792,-0.13313153611252682,-0.27574510083717907,-0.13313153611252684,1.0,1.0,-0.2241144420244663,0.20285423037716616,1.0
_Population,5,m_u,-0.21682170916720317,0.06595524637413497,-0.1375065536247273,-0.013359909168341011,1.0,0.0,0.017329255861365966,0.20285423037716616,1.0
_Population,5,m_y=0,0.3653151827858877,0.5181091598712074,0.3688235405952226,0.5154150063296525,0.0,0.0,0.28491329058583503,0.20285423037716616,1.0
_Population,5,m_y=1,0.11383655410074187,0.28419742633249784,0.15269804072535592,0.2520262474658798,1.0,1.0,0.2007969303423849,0.20285423037716616,1.0
